policy,controller_id,controller,iterations,elapsed_seconds,decisions_per_second,accepted,blocked
approval,no_guard,No guard,250000,0.07991829999991751,3128194.6688087466,200000,0
approval,schema_guard,Schema guard,250000,0.07680330000039248,3255068.467093503,200000,50000
approval,fsm_guard,Finite-state guard,250000,0.07302420000087295,3423522.613010638,150000,100000
deployment,no_guard,No guard,250000,0.07828650000010384,3193398.6063966122,208334,0
deployment,schema_guard,Schema guard,250000,0.07835250000061933,3190708.6563673643,208334,41666
deployment,fsm_guard,Finite-state guard,250000,0.07997280000017781,3126062.861365916,208334,41666
disclosure,no_guard,No guard,250000,0.07677019999937329,3256471.9123050463,214286,0
disclosure,schema_guard,Schema guard,250000,0.07994809999945574,3127028.659864361,214286,35714
disclosure,fsm_guard,Finite-state guard,250000,0.08809320000000298,2837903.4931185558,214286,35714
