policy,controller_id,controller,alpha,unsafe_rate,unsafe_ci_low,unsafe_ci_high,success_rate,success_ci_low,success_ci_high,terminal_rate,terminal_ci_low,terminal_ci_high,mean_blocked,blocked_ci_low,blocked_ci_high,mean_malformed_executed,malformed_ci_low,malformed_ci_high,mean_trace_len,trace_len_ci_low,trace_len_ci_high,mean_steps,steps_ci_low,steps_ci_high
disclosure,no_guard,No guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0
disclosure,no_guard,No guard,0.1,0.02,0.016471933678631395,0.024265087253446074,0.7904,0.7788970733410486,0.8014570289950446,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.2094,0.19678292481745344,0.22201707518254657,13.7906,13.777982924817453,13.803217075182546,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.1,0.02,0.016471933678631395,0.024265087253446074,0.7904,0.7788970733410486,0.8014570289950446,0.0,0.0,0.000767730137580694,0.2094,0.19678292481745344,0.22201707518254657,0.0,0.0,0.0,13.7906,13.777982924817453,13.803217075182546,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.1,0.0,0.0,0.000767730137580694,0.8296,0.818926144684783,0.8397677676085239,0.0,0.0,0.000767730137580694,0.4288,0.41072085878896386,0.44687914121103617,0.0,0.0,0.0,13.5712,13.553120858788963,13.589279141211035,14.0,14.0,14.0
disclosure,no_guard,No guard,0.2,0.0446,0.03921936574067707,0.05067988286863144,0.6318,0.6183344445447324,0.6450631817910014,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.3884,0.3712318730964303,0.40556812690356975,13.6116,13.594431873096429,13.62876812690357,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.2,0.0446,0.03921936574067707,0.05067988286863144,0.6318,0.6183344445447324,0.6450631817910014,0.0,0.0,0.000767730137580694,0.3884,0.3712318730964303,0.40556812690356975,0.0,0.0,0.0,13.6116,13.594431873096429,13.62876812690357,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.2,0.0,0.0,0.000767730137580694,0.6854,0.672390515386048,0.6981248102789371,0.0,0.0,0.000767730137580694,0.7844,0.7603555505790964,0.8084444494209035,0.0,0.0,0.0,13.2156,13.191555550579096,13.239644449420904,14.0,14.0,14.0
disclosure,no_guard,No guard,0.3,0.0914,0.08372274014969239,0.09970464891873854,0.469,0.4551964603328828,0.4828511389356473,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.5912,0.5701521572878414,0.6122478427121585,13.4088,13.38775215728784,13.429847842712158,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.3,0.0914,0.08372274014969239,0.09970464891873854,0.469,0.4551964603328828,0.4828511389356473,0.0,0.0,0.000767730137580694,0.5912,0.5701521572878414,0.6122478427121585,0.0,0.0,0.0,13.4088,13.38775215728784,13.429847842712158,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.3,0.0,0.0,0.000767730137580694,0.5358,0.5219540733752281,0.5495909571469213,0.0,0.0,0.000767730137580694,1.2046,1.1757599423139573,1.2334400576860425,0.0,0.0,0.0,12.7954,12.766559942313958,12.824240057686044,14.0,14.0,14.0
disclosure,no_guard,No guard,0.4,0.14,0.13065811398012073,0.1498946517189374,0.3356,0.32264192097639244,0.34881050869284425,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.8012,0.7771337965676194,0.8252662034323807,13.1988,13.174733796567619,13.222866203432382,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.4,0.14,0.13065811398012073,0.1498946517189374,0.3356,0.32264192097639244,0.34881050869284425,0.0,0.0,0.000767730137580694,0.8012,0.7771337965676194,0.8252662034323807,0.0,0.0,0.0,13.1988,13.174733796567619,13.222866203432382,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.4,0.0,0.0,0.000767730137580694,0.4002,0.3867012085325692,0.413852030402892,0.0,0.0,0.000767730137580694,1.6062,1.5735038178827527,1.6388961821172474,0.0,0.0,0.0,12.3938,12.361103817882753,12.426496182117248,14.0,14.0,14.0
disclosure,no_guard,No guard,0.5,0.1938,0.1830803258227625,0.20498983211349192,0.2448,0.23308076927614438,0.2569110801860768,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.0024,0.9761715188178609,1.0286284811821391,12.9976,12.971371518817861,13.02382848118214,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.5,0.1938,0.1830803258227625,0.20498983211349192,0.2448,0.23308076927614438,0.2569110801860768,0.0,0.0,0.000767730137580694,1.0024,0.9761715188178609,1.0286284811821391,0.0,0.0,0.0,12.9976,12.971371518817861,13.02382848118214,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.5,0.0,0.0,0.000767730137580694,0.298,0.28548108747922457,0.31082907549635813,0.0,0.0,0.000767730137580694,1.9816,1.9463332303352106,2.0168667696647895,0.0,0.0,0.0,12.0184,11.983133230335211,12.053666769664789,14.0,14.0,14.0
