policy,controller_id,controller,alpha,unsafe_rate,unsafe_ci_low,unsafe_ci_high,success_rate,success_ci_low,success_ci_high,terminal_rate,terminal_ci_low,terminal_ci_high,mean_blocked,blocked_ci_low,blocked_ci_high,mean_malformed_executed,malformed_ci_low,malformed_ci_high,mean_trace_len,trace_len_ci_low,trace_len_ci_high,mean_steps,steps_ci_low,steps_ci_high
disclosure,no_guard,No guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0
disclosure,no_guard,No guard,0.1,0.02,0.016471933678631395,0.024265087253446074,0.7904,0.7788970733410486,0.8014570289950446,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.2094,0.19678292481745344,0.22201707518254657,13.7906,13.777982924817453,13.803217075182546,14.0,14.0,14.0
disclosure,no_guard,No guard,0.2,0.0446,0.03921936574067707,0.05067988286863144,0.6318,0.6183344445447324,0.6450631817910014,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.3884,0.3712318730964303,0.40556812690356975,13.6116,13.594431873096429,13.62876812690357,14.0,14.0,14.0
disclosure,no_guard,No guard,0.3,0.0914,0.08372274014969239,0.09970464891873854,0.469,0.4551964603328828,0.4828511389356473,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.5912,0.5701521572878414,0.6122478427121585,13.4088,13.38775215728784,13.429847842712158,14.0,14.0,14.0
disclosure,no_guard,No guard,0.4,0.14,0.13065811398012073,0.1498946517189374,0.3356,0.32264192097639244,0.34881050869284425,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.8012,0.7771337965676194,0.8252662034323807,13.1988,13.174733796567619,13.222866203432382,14.0,14.0,14.0
disclosure,no_guard,No guard,0.5,0.1938,0.1830803258227625,0.20498983211349192,0.2448,0.23308076927614438,0.2569110801860768,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.0024,0.9761715188178609,1.0286284811821391,12.9976,12.971371518817861,13.02382848118214,14.0,14.0,14.0
disclosure,no_guard,No guard,0.6,0.2522,0.2403558602562404,0.26442462679994466,0.155,0.1452337348953928,0.16529599889953792,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.2064,1.1777757809609428,1.235024219039057,12.7936,12.764975780960942,12.822224219039057,14.0,14.0,14.0
disclosure,no_guard,No guard,0.7,0.3166,0.3038516851196019,0.32962991829486277,0.0806,0.07337246466207123,0.08847150737733148,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.3918,1.361101893737417,1.4224981062625828,12.6082,12.577501893737418,12.638898106262582,14.0,14.0,14.0
disclosure,no_guard,No guard,0.8,0.37,0.3567219180858147,0.38347769174995633,0.0478,0.042225690947536774,0.054068644188891214,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.6144,1.5810269773725445,1.6477730226274556,12.3856,12.352226977372545,12.418973022627455,14.0,14.0,14.0
disclosure,no_guard,No guard,0.9,0.3922,0.37875435731067203,0.4058111653069904,0.0184,0.015027678088938907,0.02251179957957882,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.8146,1.779611441562232,1.849588558437768,12.1854,12.150411441562232,12.220388558437767,14.0,14.0,14.0
disclosure,no_guard,No guard,1.0,0.3738,0.36049111589012095,0.38730265919660456,0.0036,0.0022784219199114787,0.005683780560678634,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,2.019,1.9834102779704192,2.054589722029581,11.981,11.945410277970419,12.01658972202958,14.0,14.0,14.0
