policy,controller_id,controller,alpha,unsafe_rate,unsafe_ci_low,unsafe_ci_high,success_rate,success_ci_low,success_ci_high,terminal_rate,terminal_ci_low,terminal_ci_high,mean_blocked,blocked_ci_low,blocked_ci_high,mean_malformed_executed,malformed_ci_low,malformed_ci_high,mean_trace_len,trace_len_ci_low,trace_len_ci_high,mean_steps,steps_ci_low,steps_ci_high
approval,schema_guard,Schema guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,1.0,0.9992322698624194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
approval,schema_guard,Schema guard,0.1,0.0418,0.03659538520665388,0.04770816269142507,0.8256,0.8148331913290248,0.8358668628053827,1.0,0.9992322698624194,1.0,0.0572,0.050597417269663165,0.06380258273033683,0.0,0.0,0.0,3.1494,3.1368952508719707,3.161904749128029,3.2066,3.1923371945009076,3.220862805499092
approval,schema_guard,Schema guard,0.2,0.0814,0.07413786579462477,0.08930487787655779,0.6744,0.6612815141860394,0.6872507015419725,1.0,0.9992322698624194,1.0,0.1404,0.12984082444191342,0.15095917555808658,0.0,0.0,0.0,3.3194,3.300488757700726,3.338311242299274,3.4598,3.4373956546383204,3.4822043453616796
approval,schema_guard,Schema guard,0.3,0.1338,0.12464413631539145,0.14351814923737266,0.5166,0.5027409153294228,0.5304335960300094,1.0,0.9992322698624194,1.0,0.226,0.21229196360771002,0.23970803639229,0.0,0.0,0.0,3.5506,3.5248886885882555,3.576311311411745,3.7766,3.746173458126319,3.8070265418736815
approval,schema_guard,Schema guard,0.4,0.1706,0.160427228665399,0.1812785519492392,0.4076,0.39405540041367104,0.421286476115754,1.0,0.9992322698624194,1.0,0.3268,0.31008418748846517,0.3435158125115348,0.0,0.0,0.0,3.7614,3.729748204910949,3.793051795089051,4.0882,4.049940299958668,4.126459700041331
approval,schema_guard,Schema guard,0.5,0.232,0.22050816992908664,0.24390333342465667,0.2982,0.2856784900188148,0.31103136586471286,1.0,0.9992322698624194,1.0,0.457,0.4370377154894392,0.47696228451056083,0.0,0.0,0.0,4.065,4.0256203008627445,4.104379699137256,4.522,4.4738643860267,4.5701356139733
approval,schema_guard,Schema guard,0.6,0.2816,0.26930408424127966,0.2942312602828157,0.198,0.18718802222116987,0.20927568678192893,0.9986,0.9971127434504155,0.9993216760563892,0.6082,0.5842776924875014,0.6321223075124985,0.0,0.0,0.0,4.4124,4.365333034041127,4.459466965958873,5.0206,4.962252134208582,5.0789478657914175
approval,schema_guard,Schema guard,0.7,0.3054,0.29278689428385796,0.3183119062856885,0.1276,0.11863689691525126,0.13713490849121884,0.9886,0.9852595777823054,0.9911901963272509,0.8156,0.7868606029110942,0.8443393970889058,0.0,0.0,0.0,4.9366,4.876815753555929,4.996384246444071,5.7522,5.678070397431751,5.82632960256825
approval,schema_guard,Schema guard,0.8,0.3532,0.34006881862611693,0.3665565869422769,0.0768,0.06973985226541728,0.08450995452303102,0.9724,0.967483637934199,0.9765910106318149,1.037,1.0041758634125961,1.0698241365874037,0.0,0.0,0.0,5.4542,5.385308647096053,5.523091352903947,6.4912,6.404286037320342,6.578113962679658
approval,schema_guard,Schema guard,0.9,0.4012,0.38769483056070486,0.41485687291448115,0.0432,0.037906572699391634,0.049194825554302095,0.9138,0.9056993389022231,0.921265287635915,1.3942,1.3551767715201908,1.4332232284798094,0.0,0.0,0.0,6.1926,6.113647619404624,6.2715523805953755,7.5868,7.486315274271439,7.687284725728562
approval,schema_guard,Schema guard,1.0,0.4544,0.4406387273775755,0.46823128961097205,0.0148,0.011806050426256876,0.018538954899251434,0.8028,0.7915405163933699,0.8135945462353112,1.7406,1.6970914928171024,1.7841085071828975,0.0,0.0,0.0,6.9802,6.893964705247565,7.066435294752435,8.7208,8.611216635667713,8.830383364332288
